Date,Open,High,Low,Close,Adj Close,Volume
2022-12-19,79.919998,81.099998,79.680000,80.500000,78.989304,7738800
2022-12-20,80.500000,81.489998,80.349998,80.940002,79.421051,6390200
2022-12-21,81.349998,82.139999,80.940002,81.500000,79.970543,5932400
2022-12-22,80.940002,81.169998,79.430000,80.489998,78.979485,8181400
2022-12-23,80.510002,80.900002,79.989998,80.849998,79.332741,4129100
2022-12-27,80.879997,81.470001,80.610001,80.980003,79.460289,4290700
2022-12-28,81.089996,81.639999,80.190002,80.330002,78.822495,3794000
2022-12-29,80.970001,81.800003,80.699997,81.400002,79.872421,3867800
2022-12-30,81.129997,81.930000,80.760002,81.739998,80.206032,5375700
2023-01-03,82.470001,83.839996,82.260002,83.720001,82.148872,8997500
2023-01-04,84.199997,85.169998,83.639999,84.480003,82.894608,7836200
2023-01-05,85.000000,85.400002,83.220001,84.309998,82.727798,7643800
2023-01-06,84.739998,86.339996,83.820000,85.660004,84.052467,8641600
2023-01-09,86.839996,87.589996,86.160004,86.419998,85.116173,7519700
2023-01-10,85.639999,86.610001,85.570000,86.500000,85.194977,5703300
2023-01-11,87.370003,88.660004,87.089996,88.599998,87.263283,8359700
2023-01-12,88.699997,89.199997,88.169998,88.779999,87.440567,6071100
2023-01-13,87.949997,89.470001,87.660004,89.199997,87.854225,5090800
2023-01-17,89.190002,89.440002,88.430000,88.599998,87.263283,6550400
2023-01-18,88.599998,88.629997,86.599998,86.709999,85.401794,6397700
2023-01-19,86.400002,86.989998,85.260002,85.940002,84.643417,5597000
2023-01-20,86.029999,87.379997,85.500000,87.250000,85.933655,5567300
2023-01-23,87.190002,89.129997,86.970001,88.970001,87.627701,7390200
2023-01-24,89.050003,90.099998,88.000000,89.699997,88.346687,7004600
2023-01-25,88.699997,89.860001,87.739998,89.639999,88.287582,5896800
2023-01-26,89.889999,90.489998,89.089996,89.830002,88.474731,7302800
2023-01-27,89.500000,89.720001,88.959999,88.989998,87.647400,5676800
2023-01-30,88.470001,88.620003,86.989998,87.349998,86.032143,6255300
2023-01-31,87.690002,88.480003,87.349998,88.459999,87.125397,6200400
2023-02-01,88.370003,90.650002,88.209999,90.050003,88.691406,6141300
2023-02-02,90.660004,91.220001,88.949997,89.379997,88.031509,8269200
2023-02-03,88.470001,90.260002,88.269997,89.620003,88.267891,5671800
2023-02-06,89.510002,89.610001,88.400002,88.529999,87.194336,4097200
2023-02-07,87.870003,88.019997,86.300003,87.739998,86.416252,9226000
2023-02-08,86.930000,87.919998,86.510002,86.690002,85.382095,7624400
2023-02-09,87.139999,87.900002,86.330002,86.650002,85.342705,4960300
2023-02-10,86.529999,87.379997,86.339996,87.139999,85.825302,5318400
2023-02-13,87.279999,89.449997,87.199997,89.419998,88.070908,5560900
2023-02-14,89.000000,89.410004,87.709999,89.089996,87.745880,7484800
2023-02-15,88.849998,89.209999,88.029999,88.339996,87.007202,4329900
2023-02-16,87.459999,88.269997,87.010002,87.720001,86.396553,5942500
2023-02-17,87.199997,87.430000,86.510002,87.279999,85.963196,6398400
2023-02-21,86.760002,86.940002,86.150002,86.199997,84.899490,5260300
2023-02-22,86.680000,87.180000,85.980003,86.320000,85.017685,5840100
2023-02-23,87.150002,89.480003,87.059998,88.580002,87.243584,8637100
2023-02-24,87.309998,88.889999,87.139999,88.660004,87.322372,7659200
2023-02-27,88.860001,88.970001,87.360001,87.959999,86.632935,6748800
2023-02-28,87.699997,88.010002,87.180000,87.400002,86.081390,7468000
2023-03-01,86.900002,87.209999,85.989998,86.339996,85.037376,5119800
2023-03-02,86.059998,87.279999,85.870003,86.970001,85.657883,5293600
2023-03-03,87.320000,89.290001,87.080002,89.250000,87.903481,5498500
2023-03-06,89.410004,90.669998,89.150002,89.739998,88.386078,7424800
2023-03-07,89.580002,90.080002,88.050003,88.360001,87.026909,5382400
2023-03-08,88.400002,89.089996,88.150002,88.489998,87.154945,5159200
2023-03-09,88.330002,89.639999,86.529999,86.870003,85.559387,10572300
2023-03-10,84.410004,85.250000,82.879997,84.070000,82.801628,16029300
2023-03-13,83.320000,85.529999,82.040001,84.930000,83.648651,10299800
2023-03-14,85.930000,85.930000,83.430000,84.559998,83.284233,8732200
2023-03-15,83.080002,83.370003,82.120003,82.980003,81.728081,11463000
2023-03-16,82.919998,85.110001,82.080002,84.820000,83.540314,10148100
2023-03-17,85.000000,85.980003,84.610001,85.260002,83.973679,13065800
2023-03-20,85.279999,87.510002,85.250000,86.959999,85.648033,9177300
2023-03-21,87.489998,87.849998,86.660004,87.580002,86.258675,6683700
2023-03-22,87.540001,89.160004,87.440002,87.900002,86.573845,7233700
2023-03-23,88.650002,89.639999,87.639999,87.779999,86.455650,10747100
2023-03-24,87.980003,88.480003,87.510002,88.010002,86.682182,5852100
2023-03-27,88.620003,90.500000,88.550003,90.139999,88.780045,8170100
2023-03-28,90.220001,90.879997,89.480003,89.849998,88.494423,6378900
2023-03-29,90.129997,90.660004,89.809998,90.620003,89.252815,5233600
2023-03-30,90.849998,91.180000,89.709999,90.510002,89.144470,5640700
2023-03-31,90.559998,93.000000,90.410004,92.919998,91.518105,10476300
2023-04-03,92.379997,94.000000,92.089996,93.919998,92.503014,8410900
2023-04-04,93.849998,94.019997,92.930000,94.000000,92.581818,6651500
2023-04-05,93.620003,95.110001,93.480003,94.889999,93.458382,7478800
